iter	Passed	Remaining
429	1934	2564
430	1939	2560
431	1943	2555
432	1947	2550
433	1951	2544
434	1955	2539
435	1958	2533
436	1963	2529
437	1967	2524
438	1970	2518
439	1974	2513
440	1979	2508
441	1981	2501
442	1985	2496
443	1989	2490
444	1993	2486
445	1997	2480
446	2000	2475
447	2003	2468
448	2007	2464
449	2011	2458
450	2014	2452
451	2018	2446
452	2020	2440
453	2025	2435
454	2029	2430
455	2033	2425
456	2036	2420
457	2041	2415
458	2045	2410
459	2049	2405
460	2053	2400
461	2057	2396
462	2061	2390
463	2065	2385
464	2069	2381
465	2073	2376
466	2077	2370
467	2081	2365
468	2085	2361
469	2089	2356
470	2093	2351
471	2097	2346
472	2101	2341
473	2105	2337
474	2110	2332
475	2114	2327
476	2118	2323
477	2122	2318
478	2126	2312
479	2130	2307
480	2134	2303
481	2138	2298
482	2142	2293
483	2146	2288
484	2150	2283
485	2154	2278
486	2158	2273
487	2162	2268
488	2166	2264
489	2170	2259
490	2174	2254
491	2178	2249
492	2183	2245
493	2187	2240
494	2191	2235
495	2195	2231
496	2200	2227
497	2205	2222
498	2209	2217
499	2214	2214
500	2218	2209
501	2222	2205
502	2227	2201
503	2232	2196
504	2237	2192
505	2241	2187
506	2247	2185
507	2252	2181
508	2256	2176
509	2260	2172
510	2265	2168
511	2270	2164
512	2275	2160
513	2279	2155
514	2283	2150
515	2286	2145
516	2291	2140
517	2295	2135
518	2299	2130
519	2302	2125
520	2307	2121
521	2311	2116
522	2314	2111
523	2318	2105
524	2322	2101
525	2327	2097
526	2331	2092
527	2335	2087
528	2339	2082
529	2343	2078
530	2346	2072
531	2350	2067
532	2355	2063
533	2358	2058
534	2362	2053
535	2366	2048
536	2370	2044
537	2374	2039
538	2378	2034
539	2382	2029
540	2385	2024
541	2389	2019
542	2391	2012
543	2395	2007
544	2398	2002
545	2403	1998
546	2407	1993
547	2410	1988
548	2414	1983
549	2418	1978
550	2422	1973
551	2425	1968
552	2429	1963
553	2433	1959
554	2437	1954
555	2441	1949
556	2444	1944
557	2449	1940
558	2453	1935
559	2457	1931
560	2461	1926
561	2466	1922
562	2470	1917
563	2474	1912
564	2477	1907
565	2481	1902
566	2485	1898
567	2489	1893
568	2493	1888
569	2497	1884
570	2501	1879
571	2505	1874
572	2508	1869
573	2513	1865
574	2517	1860
575	2520	1855
576	2524	1850
577	2528	1846
578	2532	1841
579	2536	1836
580	2539	1831
581	2545	1828
582	2549	1823
583	2553	1818
584	2556	1813
585	2561	1809
586	2565	1804
587	2569	1800
588	2572	1795
589	2577	1791
590	2580	1785
591	2584	1781
592	2588	1776
593	2593	1772
594	2597	1768
595	2601	1763
596	2606	1759
597	2608	1753
598	2613	1749
599	2616	1744
600	2621	1740
601	2625	1735
602	2630	1731
603	2634	1727
604	2639	1723
605	2642	1718
606	2646	1713
607	2650	1708
608	2655	1704
609	2659	1700
610	2662	1695
611	2666	1690
612	2671	1686
613	2675	1681
614	2679	1677
615	2682	1672
616	2687	1668
617	2691	1663
618	2694	1658
619	2698	1654
620	2703	1649
621	2706	1645
622	2710	1640
623	2714	1635
624	2719	1631
625	2723	1626
626	2727	1622
627	2731	1618
628	2735	1613
629	2739	1609
630	2743	1604
631	2748	1600
632	2752	1595
633	2756	1591
634	2759	1586
635	2763	1581
636	2767	1577
637	2770	1572
638	2774	1567
639	2778	1562
640	2782	1558
641	2785	1553
642	2789	1548
643	2792	1543
644	2798	1540
645	2802	1535
646	2806	1531
647	2810	1526
648	2814	1521
649	2817	1517
650	2821	1512
651	2825	1508
652	2829	1503
653	2833	1499
654	2837	1494
655	2842	1490
656	2845	1485
657	2849	1481
658	2852	1475
659	2856	1471
660	2860	1467
661	2864	1462
662	2867	1457
663	2870	1452
664	2874	1448
665	2877	1443
666	2881	1438
667	2884	1433
668	2888	1429
669	2891	1424
670	2895	1419
671	2898	1414
672	2902	1410
673	2907	1406
674	2910	1401
675	2914	1396
676	2917	1392
677	2921	1387
678	2924	1382
679	2927	1377
680	2931	1373
681	2935	1368
682	2939	1364
683	2942	1359
684	2946	1354
685	2948	1349
686	2952	1345
687	2956	1340
688	2960	1336
689	2963	1331
690	2968	1327
691	2971	1322
692	2974	1317
693	2977	1312
694	2981	1308
695	2985	1303
696	2988	1299
697	2991	1294
698	2994	1289
699	2999	1285
700	3002	1280
701	3005	1275
702	3009	1271
703	3012	1266
704	3016	1262
705	3019	1257
706	3022	1252
707	3025	1247
708	3029	1243
709	3033	1238
710	3036	1234
711	3039	1229
712	3042	1224
713	3046	1220
714	3050	1216
715	3054	1211
716	3057	1206
717	3062	1202
718	3065	1198
719	3069	1193
720	3074	1189
721	3078	1185
722	3081	1180
723	3085	1176
724	3088	1171
725	3091	1166
726	3095	1162
727	3098	1157
728	3101	1153
729	3105	1148
730	3109	1144
731	3112	1139
732	3115	1134
733	3119	1130
734	3122	1125
735	3126	1121
736	3130	1117
737	3134	1112
738	3137	1108
739	3142	1104
740	3146	1099
741	3150	1095
742	3153	1090
743	3159	1086
744	3162	1082
745	3166	1078
746	3170	1073
747	3174	1069
748	3177	1064
749	3181	1060
750	3185	1056
751	3189	1051
752	3191	1046
753	3195	1042
754	3198	1038
755	3202	1033
756	3206	1029
757	3209	1024
758	3213	1020
759	3215	1015
760	3220	1011
761	3224	1006
762	3227	1002
763	3230	997
764	3234	993
765	3238	989
766	3241	984
767	3245	980
768	3248	975
769	3252	971
770	3256	967
771	3259	962
772	3263	958
773	3268	954
774	3271	949
775	3275	945
776	3278	940
777	3283	936
778	3286	932
779	3290	928
780	3293	923
781	3298	919
782	3302	915
783	3306	910
784	3310	906
785	3314	902
786	3318	898
787	3322	893
788	3326	889
789	3330	885
790	3334	881
791	3338	876
792	3342	872
793	3346	868
794	3350	863
795	3354	859
796	3357	855
797	3362	851
798	3366	846
799	3369	842
800	3372	837
801	3377	833
802	3381	829
803	3385	825
804	3388	820
805	3393	816
806	3396	812
807	3400	807
808	3403	803
809	3407	799
810	3411	795
811	3415	790
812	3419	786
813	3422	782
814	3426	777
815	3430	773
816	3434	769
817	3437	764
818	3442	760
819	3445	756
820	3449	752
821	3453	747
822	3457	743
823	3461	739
824	3465	735
825	3469	730
826	3473	726
827	3477	722
828	3479	717
829	3483	713
830	3488	709
831	3491	705
832	3495	700
833	3499	696
834	3503	692
835	3507	688
836	3511	683
837	3514	679
838	3519	675
839	3523	671
840	3526	666
841	3530	662
842	3535	658
843	3538	654
844	3542	649
845	3545	645
846	3550	641
847	3554	637
848	3558	632
849	3561	628
850	3566	624
851	3570	620
852	3573	615
853	3577	611
854	3582	607
855	3585	603
856	3589	598
857	3592	594
858	3597	590
859	3601	586
860	3604	581
861	3608	577
862	3612	573
863	3616	569
864	3619	564
865	3623	560
866	3627	556
867	3631	552
868	3635	548
869	3638	543
870	3642	539
871	3646	535
872	3650	531
873	3654	526
874	3657	522
875	3662	518
876	3666	514
877	3669	509
878	3673	505
879	3677	501
880	3681	497
881	3685	493
882	3688	488
883	3693	484
884	3697	480
885	3700	476
886	3703	471
887	3708	467
888	3712	463
889	3715	459
890	3719	454
891	3723	450
892	3727	446
893	3730	442
894	3734	438
895	3738	433
896	3742	429
897	3746	425
898	3750	421
899	3754	417
900	3758	412
901	3762	408
902	3766	404
903	3770	400
904	3774	396
905	3778	391
906	3781	387
907	3786	383
908	3789	379
909	3793	375
910	3797	370
911	3801	366
912	3805	362
913	3809	358
914	3812	354
915	3817	350
916	3821	345
917	3824	341
918	3828	337
919	3832	333
920	3836	329
921	3839	324
922	3843	320
923	3847	316
924	3851	312
925	3856	308
926	3859	303
927	3863	299
928	3867	295
929	3871	291
930	3875	287
931	3879	283
932	3883	278
933	3886	274
934	3890	270
935	3894	266
936	3898	262
937	3901	257
938	3905	253
939	3909	249
940	3913	245
941	3917	241
942	3920	236
943	3924	232
944	3928	228
945	3932	224
946	3935	220
947	3939	216
948	3943	211
949	3947	207
950	3950	203
951	3954	199
952	3958	195
953	3962	191
954	3966	186
955	3969	182
956	3973	178
957	3977	174
958	3981	170
959	3985	166
960	3987	161
961	3992	157
962	3995	153
963	3999	149
964	4003	145
965	4007	141
966	4011	136
967	4015	132
968	4018	128
969	4023	124
970	4027	120
971	4030	116
972	4034	111
973	4038	107
974	4042	103
975	4046	99
976	4049	95
977	4055	91
978	4059	87
979	4062	82
980	4066	78
981	4069	74
982	4073	70
983	4076	66
984	4080	62
985	4085	58
986	4088	53
987	4092	49
988	4096	45
989	4100	41
990	4104	37
991	4108	33
992	4112	28
993	4116	24
994	4120	20
995	4123	16
996	4127	12
997	4131	8
998	4135	4
999	4138	0
